Time,"Large Residential, Convenience Charging","Large Residential, Highway Fast Charging","Large Residential, Vehicle to Home - home energy system","Large Residential, Vehicle to Home / Vehicle to Grid - vehicle charging","Large Residential, Coordinated Charging","Medium Residential, Convenience Charging","Medium Residential, Highway Fast Charging","Medium Residential, Vehicle to Home - home energy system","Medium Residential, Vehicle to Home / Vehicle to Grid - vehicle charging","Medium Residential, Coordinated Charging","Small Residential, Convenience Charging","Small Residential, Highway Fast Charging","Small Residential, Vehicle to Home - home energy system","Small Residential, Vehicle to Home / Vehicle to Grid - vehicle charging","Small Residential, Coordinated Charging"
0:00,0.1,0.22,-0.55,0.1,0.1,0.07,0.15,-0.55,0.07,0.07,0.05,0.11,-0.55,0.05,0.05
0:30,0.09,0.18,-0.45,0.09,0.09,0.06,0.13,-0.45,0.06,0.06,0.04,0.09,-0.45,0.04,0.04
1:00,0.08,0.14,-0.38,0.08,0.08,0.05,0.1,-0.38,0.05,0.05,0.04,0.07,-0.38,0.04,0.04
1:30,0.07,0.09,-0.39,0.07,0.07,0.05,0.06,-0.39,0.05,0.05,0.03,0.04,-0.39,0.03,0.03
2:00,0.06,0.03,-0.34,0.06,0.06,0.04,0.02,-0.34,0.04,0.04,0.03,0.02,-0.34,0.03,0.03
2:30,0.05,0.02,-0.36,0.05,0.05,0.04,0.01,-0.36,0.04,0.04,0.02,0.01,-0.36,0.02,0.02
3:00,0.05,0,-0.43,0.05,0.05,0.03,0,-0.43,0.03,0.03,0.02,0,-0.43,0.02,0.02
3:30,0.04,0.01,-0.43,0.04,0.04,0.03,0.01,-0.43,0.03,0.03,0.02,0.01,-0.43,0.02,0.02
4:00,0.03,0.03,-0.46,0.03,0.03,0.02,0.02,-0.46,0.02,0.02,0.02,0.01,-0.46,0.02,0.02
4:30,0.03,0.1,-0.48,0.03,0.03,0.02,0.07,-0.48,0.02,0.02,0.01,0.05,-0.48,0.01,0.01
5:00,0.03,0.18,-0.53,0.03,0.03,0.02,0.13,-0.53,0.02,0.02,0.01,0.09,-0.53,0.01,0.01
5:30,0.02,0.29,-0.51,0.02,0.02,0.02,0.2,-0.51,0.02,0.02,0.01,0.14,-0.51,0.01,0.01
6:00,0.02,0.4,-0.55,0.02,0.02,0.01,0.27,-0.55,0.01,0.01,0.01,0.19,-0.55,0.01,0.01
6:30,0.07,0.43,-0.45,0.07,0.07,0.05,0.29,-0.45,0.05,0.05,0.03,0.2,-0.45,0.03,0.03
7:00,0.12,0.46,0.1,0.12,0.12,0.08,0.32,0.1,0.08,0.08,0.06,0.22,0.1,0.06,0.06
7:30,0.14,0.47,0.53,0.14,0.14,0.09,0.32,0.53,0.09,0.09,0.06,0.22,0.53,0.06,0.06
8:00,0.15,0.49,1.21,0.15,0.15,0.1,0.33,1.21,0.1,0.1,0.07,0.23,1.21,0.07,0.07
8:30,0.21,0.49,1.28,0.28,0.28,0.15,0.33,1.28,0.19,0.19,0.1,0.23,1.28,0.13,0.13
9:00,0.27,0.49,1.22,0.4,0.4,0.19,0.33,1.22,0.27,0.27,0.13,0.23,1.22,0.19,0.19
9:30,0.3,0.48,2.18,0.73,0.73,0.21,0.33,2.18,0.5,0.5,0.14,0.23,2.18,0.35,0.35
10:00,0.33,0.47,1.59,1.07,1.07,0.22,0.32,1.59,0.73,0.73,0.16,0.22,1.59,0.51,0.51
10:30,0.33,0.44,1.15,1.27,1.27,0.23,0.3,1.15,0.87,0.87,0.16,0.21,1.15,0.6,0.6
11:00,0.34,0.42,1.79,1.47,1.47,0.23,0.29,1.79,1.01,1.01,0.16,0.2,1.79,0.7,0.7
11:30,0.33,0.41,1.44,1.57,1.57,0.23,0.28,1.44,1.07,1.07,0.16,0.19,1.44,0.74,0.74
12:00,0.33,0.4,1.08,1.67,1.67,0.22,0.27,1.08,1.14,1.14,0.16,0.19,1.08,0.79,0.79
12:30,0.32,0.4,1.07,1.57,1.57,0.22,0.27,1.07,1.07,1.07,0.15,0.19,1.07,0.74,0.74
13:00,0.3,0.4,0.71,1.47,1.47,0.21,0.27,0.71,1.01,1.01,0.14,0.19,0.71,0.7,0.7
13:30,0.33,0.41,0.77,1.27,1.27,0.23,0.28,0.77,0.87,0.87,0.16,0.19,0.77,0.6,0.6
14:00,0.36,0.41,0.86,1.07,1.07,0.25,0.28,0.86,0.73,0.73,0.17,0.2,0.86,0.51,0.51
14:30,0.35,0.43,0.5,0.73,0.73,0.24,0.3,0.5,0.5,0.5,0.16,0.21,0.5,0.35,0.35
15:00,0.33,0.45,0.58,0.4,0.4,0.22,0.31,0.58,0.27,0.27,0.16,0.22,0.58,0.19,0.19
15:30,0.35,0.49,0.13,0.26,0.26,0.24,0.34,0.13,0.18,0.18,0.16,0.23,0.13,0.13,0.13
16:00,0.36,0.53,-0.06,0.13,0.13,0.25,0.37,-0.06,0.09,0.09,0.17,0.25,-0.06,0.06,0.06
16:30,0.39,0.6,-0.17,0.13,0.13,0.27,0.41,-0.17,0.09,0.09,0.19,0.29,-0.17,0.06,0.06
17:00,0.42,0.67,-0.22,0.13,0.13,0.29,0.46,-0.22,0.09,0.09,0.2,0.32,-0.22,0.06,0.06
17:30,0.47,0.67,-0.43,0.13,0.13,0.32,0.46,-0.43,0.09,0.09,0.22,0.32,-0.43,0.06,0.06
18:00,0.52,0.68,-0.63,0.13,0.13,0.35,0.46,-0.63,0.09,0.09,0.25,0.32,-0.63,0.06,0.06
18:30,0.91,0.64,-0.67,0.13,0.13,0.63,0.44,-0.67,0.09,0.09,0.43,0.31,-0.67,0.06,0.06
19:00,1.31,0.61,-0.7,0.13,0.13,0.9,0.42,-0.7,0.09,0.09,0.62,0.29,-0.7,0.06,0.06
19:30,1.4,0.57,-0.69,0.13,0.13,0.96,0.39,-0.69,0.09,0.09,0.67,0.27,-0.69,0.06,0.06
20:00,1.49,0.54,-0.67,0.13,0.13,1.03,0.37,-0.67,0.09,0.09,0.71,0.26,-0.67,0.06,0.06
20:30,1.46,0.49,-0.68,0.13,0.13,1,0.34,-0.68,0.09,0.09,0.7,0.23,-0.68,0.06,0.06
21:00,1.43,0.45,-0.65,0.13,0.13,0.98,0.31,-0.65,0.09,0.09,0.68,0.21,-0.65,0.06,0.06
21:30,1.03,0.42,-0.63,0.13,0.13,0.7,0.29,-0.63,0.09,0.09,0.49,0.2,-0.63,0.06,0.06
22:00,0.62,0.39,-0.61,0.13,0.13,0.42,0.27,-0.61,0.09,0.09,0.29,0.19,-0.61,0.06,0.06
22:30,0.36,0.34,-0.63,0.12,0.12,0.25,0.24,-0.63,0.08,0.08,0.17,0.16,-0.63,0.05,0.05
23:00,0.1,0.3,-0.65,0.1,0.1,0.07,0.2,-0.65,0.07,0.07,0.05,0.14,-0.65,0.05,0.05
23:30,0.1,0.26,-0.62,0.1,0.1,0.07,0.18,-0.62,0.07,0.07,0.05,0.12,-0.62,0.05,0.05
